COORDINATE NAME,Z mm,-X mm,-Y theta
STRAIGHT SECTION CENTER,0.00000000,0.000000000,0.000000
A:Q1 CENTER,3033.09420075,0.000000000,0.000000
A:FC1 CENTER,3414.17802624,0.000000000,0.000000
A:Q2 CENTER,3675.67802624,0.000000000,0.000000
A:M1 VERTEX,4652.61256868,0.000000000,1.037900
A:Q3 CENTER,6301.30749401,47.118658264,1.637032
A:S1 CENTER,6647.11440155,57.001600979,1.637032
A:Q4 VERTEX,7150.03849285,71.374853439,1.588132
A:S2 CENTER,7519.80296993,81.310846199,1.539232
A:Q5 VERTEX,7865.27388654,90.594043312,1.506073
A:FC2 CENTER,8098.23134352,96.584042138,1.472913
A:S3 CENTER,8379.82901440,103.824719211,1.472913
A:Q6 CENTER,8755.08390852,113.473589885,1.472913
A:M2 VERTEX,10046.84917829,146.688549170,2.047885
A:Q7 CENTER,11162.59772205,201.405828194,2.807586
A:M3 VERTEX,11999.33633188,242.440217386,3.526055
A:Q8 VERTEX,12845.06277413,305.207278911,4.091012
A:M4 VERTEX,13786.49242732,370.006569591,4.500000
B:Q8 VERTEX,14726.46836163,453.277109876,4.908988
B:M3 VERTEX,15571.60143966,523.583578598,5.473945
B:Q7 CENTER,16404.45760145,613.949147639,6.192414
B:M2 VERTEX,17515.02909743,734.447055679,6.952115
B:Q6 CENTER,18796.08655755,903.717636595,7.527087
B:S3 CENTER,19168.23085714,952.890358145,7.527087
B:FC2 CENTER,19447.49428486,989.790406823,7.527087
B:Q5 VERTEX,19678.52069124,1020.316729983,7.493927
B:S2 CENTER,20021.19049956,1065.191382457,7.460768
B:Q4 VERTEX,20387.95689404,1113.221626417,7.411868
B:S1 CENTER,20886.93762729,1177.699993726,7.362968
B:Q3 CENTER,21230.03311082,1222.034845023,7.362968
B:M1 VERTEX,22865.80084786,1433.409004290,7.962100
B:Q2 CENTER,23830.70770496,1586.235236817,9.000000
B:FC1 CENTER,24088.98820603,1627.142849425,9.000000
B:Q1 CENTER,24465.38025725,1686.757493800,9.000000
NEXT STRAIGHT SECTION CENTER,27461.13203526,2161.237962511,9.000000
